koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_tce_delivname_q1_q16_tce,koi_tce_delivname_q1_q17_dr24_tce,koi_tce_delivname_q1_q17_dr25_tce,koi_depth_err1,koi_time0bk_err1,koi_insol_err1,koi_model_snr,koi_kepmag,koi_period_err2,koi_slogg_err2,koi_prad_err2,koi_prad_err1,ra,koi_duration,dec,koi_period,koi_depth,koi_srad,koi_srad_err2,koi_duration_err2,koi_steff_err1,koi_time0bk,koi_slogg_err1,koi_score,koi_period_err1,koi_insol_err2,koi_teq,koi_time0bk_err2,koi_steff_err2,koi_impact_err2,koi_steff,koi_duration_err1,koi_impact_err1,koi_tce_plnt_num,koi_insol,koi_depth_err2,koi_impact,koi_prad,koi_slogg,koi_srad_err1
0,1,0,0,0.0,0.0,1.0,241.0,0.000121,406.05,431.3,14.952,-1.15e-07,-0.039,-2.73,2.73,284.12561,2.04757,44.550571,0.76757669,158000.0,0.627,-0.05,-0.00578,157.0,131.819082,0.066,0.67,1.15e-07,-312.74,1530.0,-0.000121,-141.0,-0.017,5182.0,0.00578,0.087,1.0,1294.42,-241.0,0.821,34.23,4.635,0.05
0,0,0,0,0.0,0.0,1.0,37.4,0.00453,10.12,25.3,15.368,-0.00021,-0.128,-0.2,0.6,293.56815,6.122,39.03632,31.8841473,910.0,0.974,-0.053,-0.217,78.0,160.20696,0.032,0.999,0.00021,-3.76,563.0,-0.00453,-86.0,-0.682,5779.0,0.217,0.007,1.0,23.82,-37.4,0.938,3.7,4.477,0.158
0,0,0,0,0.0,0.0,1.0,6.0,0.000981,6.0,126.8,12.772,-6.46e-05,-0.114,-0.28,0.39,295.64871,6.3729,48.49556,51.07926451,737.0,1.022,-0.107,-0.0312,105.0,185.18087,0.085,0.99,6.46e-05,-3.96,503.0,-0.000981,-117.0,-0.017,5833.0,0.0312,0.267,1.0,15.17,-6.0,0.017,2.75,4.407,0.143
1,0,0,0,0.0,0.0,1.0,4.5,0.0102,0.0,9.2,15.886,-0.000131,-0.112,-0.12,0.12,298.50726,4.23,41.47905,56.86716792,116.0,1.0,-0.066,-1.1,169.0,157.2619128,0.052,0.0,0.000107,0.0,523.0,-0.0118,-79.0,-0.001,5780.0,1.1,0.004,1.0,0.35,-4.5,0.001,1.08,4.438,0.3
0,0,1,0,0.0,0.0,1.0,20.3,0.00581,31.17,22.1,13.492,-0.000512,-0.097,-11.0,6.43,294.42145,5.503,41.8969,72.6549842,389.0,1.96,-0.626,-0.274,170.0,170.59195,0.292,0.0,0.000512,-33.23,699.0,-0.00581,-204.0,-0.12,6793.0,0.274,7.133,1.0,56.33,-20.3,1.141,34.52,3.926,0.365
0,0,0,0,0.0,0.0,1.0,18.7,0.00819,114.89,28.5,15.212,-0.000124,-0.218,-0.36,1.09,294.33847,7.332,50.33654,15.1622287,480.0,1.112,-0.129,-0.448,174.0,144.474,0.058,0.982,0.000124,-37.97,829.0,-0.00819,-261.0,-0.651,6325.0,0.448,0.014,2.0,111.74,-18.7,0.959,3.12,4.409,0.388
0,1,1,1,0.0,0.0,1.0,24.0,0.0237,1668.18,8.1,15.556,-3.23e-05,-0.208,-1.71,4.76,295.3027,5.77,46.772018,1.33258455,153.0,0.951,-0.102,-1.1,168.0,132.0268,0.052,0.0,3.23e-05,-580.88,1680.0,-0.0237,-210.0,-0.22,6039.0,1.1,2.093,1.0,1884.66,-24.0,1.141,15.89,4.493,0.285
1,0,0,0,0.0,0.0,1.0,127.0,0.0357,1.65,4.0,15.099,-0.0141,-0.3,-0.17,0.86,295.15546,4.68,44.294861,293.76887,462.0,0.847,-0.075,-1.1,174.0,257.9779,0.049,0.0,0.0141,-0.33,271.0,-0.0357,-176.0,-0.4046,6074.0,1.1,0.207,1.0,1.28,-127.0,0.753,1.97,4.522,0.365
0,0,0,0,0.0,0.0,1.0,12.2,0.0049,194.07,16.1,14.927,-2.88e-05,-0.113,-0.23,0.24,298.40137,2.647,44.838181,4.17939037,173.0,1.162,-0.179,-0.132,76.0,133.84818,0.15,0.963,2.88e-05,-154.33,1194.0,-0.0049,-76.0,-0.317,5633.0,0.132,0.144,1.0,478.98,-12.2,0.317,1.52,4.296,0.179
0,0,0,0,0.0,0.0,1.0,6.9,0.00102,634.47,47.4,14.86,-1.16e-06,-0.111,-0.06,0.19,296.05405,1.3568,45.827049,0.938750221,281.0,0.886,-0.042,-0.0318,74.0,131.68256,0.026,1.0,1.16e-06,-272.72,1676.0,-0.00102,-82.0,-0.013,5497.0,0.0318,0.437,1.0,1874.28,-6.9,0.013,1.46,4.527,0.112
